# TIME, VOLTAGE, LPM
36.05000000,3.50417722,8.38204084
36.10000000,3.65006689,8.26157576
36.15000000,3.97625322,8.54739571
36.20000000,4.41458886,9.09877391
36.25000000,4.87215264,9.88173823
36.30000000,5.25080880,10.62576412
36.35000000,5.46830725,11.17189932
36.40000000,5.47638366,11.68891029
36.45000000,5.27183338,11.50859097
36.50000000,4.89795023,11.16053255
36.55000000,4.43576382,10.49333014
36.60000000,3.98674977,9.73549315
36.65000000,3.65063469,9.07050508
36.70000000,3.50312459,8.58860257
36.75000000,3.57855002,8.34385125
36.80000000,3.86146537,8.52888932
36.85000000,4.28933423,8.90175003
36.90000000,4.76597505,9.57125459
36.95000000,5.18297117,10.31358950
37.00000000,5.44433504,11.06659586
37.05000000,5.48882255,11.71792808
37.10000000,5.30466823,11.84858458
37.15000000,4.93311827,11.47567633
37.20000000,4.45964979,11.04871474
37.25000000,3.99462442,9.66653268
37.30000000,3.64767224,9.13015724
37.35000000,3.50171796,8.54989486
37.40000000,3.59282510,8.32427205
37.45000000,3.90082702,8.68751079
37.50000000,4.35326953,8.97629108
37.55000000,4.84205032,9.96270168
37.60000000,5.24904150,10.65532779
37.65000000,5.47468056,11.32935521
37.70000000,5.46260839,11.72952323
37.75000000,5.21419833,11.63283695
37.80000000,4.78913413,11.14112352
37.85000000,4.29154260,10.54685800
37.90000000,3.84477350,9.80872903
37.95000000,3.56085453,8.68703035
38.00000000,3.51216792,8.27591611
38.05000000,3.71255791,8.49522834
38.10000000,4.11289798,8.67311618
38.15000000,4.61260876,9.08907126
38.20000000,5.08457593,10.17429352
38.25000000,5.40739450,11.08384586
38.30000000,5.49679298,11.31353960
38.35000000,5.32806380,11.54167442
38.40000000,4.94343055,11.33146237
38.45000000,4.44204999,10.71130666
38.50000000,3.95484729,9.70682477
38.55000000,3.61045632,9.16583331
38.60000000,3.50108139,8.69977566
